Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Fpr2	31.42347974591418	-3.769163153269324	0.36954904820165985	6.926526385299158e-25	1.5608878820364768e-23	TRUE
H2-DMb1	245.8693302650226	-3.772634332296137	0.3092568821051812	1.2933987283034617e-34	3.973461671441111e-33	TRUE
Parp9	437.9043328518081	-3.77986755791678	0.17174574709021612	9.584360727778572e-108	1.8496997028482064e-105	TRUE
Lcp1	1589.474098849165	-3.7831673476503482	0.17819126159646895	2.061731255469604e-100	3.188622722500251e-98	TRUE
Slc43a3	124.26023343626663	-3.789818116122898	0.3359195853167714	6.33172745953695e-30	1.7122204315729858e-28	TRUE
Pycard	385.7988023645542	-3.7974876440386787	0.18241243957524406	1.1393103468944897e-96	1.5591289474471257e-94	TRUE
Irf8	757.0497930885101	-3.8026638944829863	0.16929600621055535	3.974608856450836e-112	8.974666797865988e-110	TRUE
Slamf9	80.78980548833346	-3.8033209515915813	0.20830588946060402	5.397732430528406e-75	4.547790980646694e-73	TRUE
Gcm2	1.9899857863026482	-3.811034992636694	0.48047779791047657	3.42900186696129e-16	5.161790810399062e-15	TRUE
Dtx3l	667.4011882814784	-3.815576265646771	0.1922404857262738	4.98690634153683e-88	5.5744725342525555e-86	TRUE
Hmox1	538.3702014855825	-3.8183328819001425	0.23210791019329818	3.407751214028995e-61	2.0356355135654684e-59	TRUE
Prg2	0.33646273435969015	-3.8216271745111765	1.6607296260927737	0.040839540658039686	0.07995868352513945	FALSE
Trim30b	42.62638918049887	-3.8361211894063545	0.29288131702372866	1.092549877412772e-39	3.8911318977887047e-38	TRUE
Serpina3n	2980.7948810712583	-3.8378776867435653	0.43230176006911675	2.9159455574347304e-19	5.217278184380049e-18	TRUE
Tlr1	103.4529597228417	-3.847617639053735	0.320961669336227	1.681878154404174e-33	4.9707864825191425e-32	TRUE
Mmp27	1.296246028486291	-3.8498253171901107	0.66469995020482	1.3659686045321862e-9	1.0871896753731675e-8	TRUE
Igha	8.802877454163072	-3.851180810610026	0.8768566880919778	3.6515821722060027e-6	1.7708918695964677e-5	TRUE
Foxc2	44.5244686099942	-3.851268011071526	0.6408231551619702	7.357384721570162e-10	6.056498250567053e-9	TRUE
Ftdc1	0.6276881529843539	-3.8526334503791353	0.8759426334953334	6.801001894445127e-6	3.137213948448845e-5	TRUE
