Symbol	SRR2182228	SRR2182229	SRR2182230	SRR2182231	SRR2182232	SRR2182233	SRR2182234	SRR2182235	SRR2182285	SRR2182286	SRR2182287	SRR2182288	SRR2182289	SRR2182290	SRR2182291	SRR2182292	SRR2182293	SRR2182294	SRR2182295	SRR2182296	SRR2182297	SRR2182298	SRR2182299	SRR2182300	SRR2182301	SRR2182302	SRR2182303	SRR2182304	SRR2182305	SRR2182306	SRR2182307	SRR2182308	SRR2182309	SRR2182310	SRR2182311	SRR2182312	SRR2182313	SRR2182314	SRR2182315	SRR2182316	SRR2182317	SRR2182318	SRR2182319	SRR2182320	SRR2182321	SRR2182322	SRR2182323	SRR2182324	SRR2182325	SRR2182326	SRR2182327	SRR2182328	SRR2182329	SRR2182330	SRR2182331
Lingo1	12175	11046	9097	10120	10494	10302	10724	12387	7234	2419	6575	4757	2704	11953	6914	5636	5012	3006	11708	3546	6789	12177	4009	6451	6004	4537	4795	10968	4632	12685	3397	12808	6876	5356	14041	10984	6004	5083	10149	13421	7666	17807	8478	19196	10417	42370	6859	19361	9557	5186	10137	13629	6981	38978	6219
Tenm4	13606	9989	9229	12102	8922	11726	15093	12827	6203	1884	6444	4884	2477	11891	4963	6573	3374	1656	10991	9940	15803	24214	9848	16700	15065	8686	14661	25630	10898	24763	11065	10169	5017	4761	12466	9494	4418	3944	7978	16271	6486	12321	6755	18722	8143	36545	4920	8060	7545	5022	7927	12500	5938	34694	5180
Mfn2	14148	14423	11643	13912	14013	15680	16726	13794	14540	5645	11859	10544	5503	24022	9065	11476	9078	5280	18936	7530	12814	24114	7971	11832	14999	8088	11171	21098	10601	23162	8170	15947	7581	6025	15574	12159	6261	6071	11119	19642	9121	18494	9485	18231	10091	40288	6958	15902	10142	5112	10295	14369	8288	40726	6035
Dlgap4	13140	12651	12043	13901	13562	15799	16914	13430	12514	6216	9566	9317	4712	18902	7426	9054	7496	3613	15399	8115	13981	27400	7914	13203	17643	7876	10966	19571	13245	25480	7989	16876	8889	6417	14642	14050	6894	6243	11300	20945	10364	21109	10372	17116	10049	39198	6269	24748	9334	4955	9559	11063	7295	36360	5755
Elavl3	12643	10245	9984	9951	9961	11604	12592	7783	15106	5958	11246	10447	5856	24275	8706	11371	9331	5739	18401	7374	12744	24038	8740	13927	14789	7604	11827	23110	11068	23825	8986	16597	8890	7140	17794	12202	7659	7362	14728	22581	11136	22654	10988	18232	9690	38804	6415	12621	8457	5174	10144	12702	8410	39740	6744
Abcc5	10648	9201	9268	9203	10882	10263	12240	7015	11093	4674	10922	9235	4301	23919	8656	9760	6551	3512	18010	9736	13445	26147	8188	14030	17418	9208	12396	26746	11860	26817	8578	17105	8252	6882	16677	12822	6231	7302	13080	25013	9350	22112	10748	13672	7127	34080	4635	8802	6279	5067	7714	9995	5684	32851	4466
Ewsr1	9529	9361	9044	8862	15202	9749	11179	8620	9919	3952	12286	8446	3799	21400	9094	9450	5761	3902	19000	8542	12479	28346	9398	14376	15608	8920	14548	19711	12559	25881	11739	15302	7582	5870	19324	10770	6763	6731	14826	22072	9240	21180	12625	13510	7630	35747	5714	10367	7028	5883	11283	11644	5392	37149	5855
Rpl21	14028	13176	13841	16661	20192	19035	21666	13642	13270	7453	9051	8710	4690	19203	7161	9351	7618	10428	15383	7223	11311	24954	7181	9635	14616	7077	9718	17695	10608	20834	6762	14028	7280	5712	15374	9560	5346	6003	11120	19648	7731	16695	9765	12136	7977	26697	5707	43752	6802	3769	9120	9814	5477	27010	5370
Vgf	8200	8110	7881	8103	5450	9269	10651	9656	13743	6795	9572	10975	5009	22897	8402	10974	8256	7735	18044	9278	15628	32007	9280	15213	19398	9188	13780	24991	14171	29610	9584	15290	6642	5959	12638	14633	6083	6491	9022	21050	8467	18245	8286	13827	8026	31570	4990	25840	7029	3977	6754	10172	5709	27818	4786
Eif4a1	12921	16049	13053	15670	20996	18040	19474	19979	12287	5896	10590	8290	4303	20251	8030	9094	7499	5655	17122	8277	13795	25609	8300	11832	16789	7414	12262	20539	11233	23157	8709	17482	8010	5655	16730	11987	6111	6667	12060	23834	8502	17551	10686	16100	9823	36547	6709	25618	8248	4671	10345	12440	6998	35410	5774
Pdxk	11303	8772	8640	10863	13185	11529	13208	5710	15383	6618	12403	10383	5688	24563	8776	11272	8668	4596	20002	10880	17990	31985	11559	17472	23874	11215	17225	31743	17196	31301	11686	16080	7001	6256	14833	12552	5779	6105	10199	21807	8498	17607	8949	10552	5373	21997	3862	10138	5987	3096	6060	7491	4746	22344	3336
Gtf2i	9990	9524	7493	10247	12130	10761	11801	10369	12756	5378	10738	8994	5307	21059	7592	10129	7797	4371	18484	7266	13263	24532	7930	10864	15755	7612	10357	19954	11153	23013	8048	14845	7951	6386	16964	12014	7446	6696	12237	19619	10352	20804	10965	14054	9118	39401	6279	16660	9111	4653	10518	12799	7505	40090	5937
Rps4x	14083	15903	16378	20976	30221	22900	25939	19558	12254	6793	8887	8010	4413	18217	6415	7753	7221	9574	13962	6833	11420	23328	7111	9703	14659	7027	10246	17795	10469	20387	6723	12841	6820	5364	15403	9818	5282	5947	11013	19342	7510	16016	9585	11094	6770	23967	4980	34272	6393	3420	7806	8655	5295	24908	4432
Ogdh	15167	16159	13210	16580	16668	17552	19658	16453	18227	8027	13315	13225	6660	29187	9405	12942	10681	5211	21201	8347	13695	25135	8755	12762	15796	8346	12128	22887	11380	24943	8589	17070	8072	6465	17016	13596	6848	6674	11937	23752	10010	19697	9897	17757	9189	36607	5921	18233	8868	4903	9099	13316	7292	35977	5382
Gprasp2	12566	8907	7644	8411	8095	8864	10906	6862	10036	3510	9612	8593	4365	24585	8667	11567	6993	4105	23686	7820	12049	21367	7526	11250	14262	8465	11092	20463	10708	22245	7213	15836	6336	5732	12429	10182	5213	4327	10168	18429	7470	16435	8868	18898	5970	38013	4982	4971	6206	5419	8709	11656	5833	34247	4745
Neto1	5712	9895	5507	5778	7413	7659	7159	16403	9286	3583	10998	6669	3172	19220	8232	7930	4627	2092	14469	8139	12314	22182	9464	11463	12774	7536	12135	18873	9365	21138	9845	7411	3637	3360	8916	7832	3267	4317	5851	11720	4575	10002	4834	18016	9405	41071	6866	11675	7713	4644	10755	13618	6100	34433	6695
Cxcl9	81	10281	15986	18153	28724	16893	27715	23653	2	1	5	1	2	8	1	2	19	2	7	2	1	8	4	3	10	32	5	4	4	9	4	1	6	3	5	5	3	2	9	5	2	5	6	6	4	9	3	4	6	6	2	2	36	12	1
Atrn	15405	15329	10570	15424	14986	16215	16321	14110	12274	4487	12583	9121	4873	22558	9339	10187	7509	3379	19959	8242	13422	22140	9481	12804	14910	8230	13165	22937	10707	24472	9565	15330	7551	5819	16687	12127	6541	6245	12294	21088	9474	18474	9747	17129	9134	38603	6559	8843	8626	4973	10250	12990	7123	38525	5781
Ube2d3	10941	12482	11024	14627	16873	15316	16535	16323	14768	5085	12265	11300	5913	25593	9415	10972	9671	5596	19784	8162	14188	26695	9323	13014	16505	8564	13817	23137	13029	25294	9550	17059	8037	6232	17007	11247	6860	6682	12796	22147	10661	18066	10254	16763	9596	37284	7102	7781	9964	5000	10830	12680	7935	38504	5792
Tmem130	14304	7517	9933	11888	8930	12903	15408	5548	19816	9101	10562	14445	8685	33828	11093	17266	14061	15177	32040	7060	11403	27884	7344	11153	18343	7243	11288	22674	13510	23578	7432	18158	7360	6317	13152	11379	6027	6299	10310	17803	8564	18166	9487	14151	8154	29189	4634	19313	6878	3940	7314	9889	5565	25638	4561
Tenm2	22263	11471	12005	23436	14050	17025	23363	9741	1713	375	2116	1067	834	3310	1829	2529	1144	502	4465	2794	4955	6233	3335	4957	5209	2507	5479	7354	3386	8037	3872	7008	2928	3051	7456	5799	3082	1972	6369	9153	4305	5886	4009	17434	7173	31191	4920	4321	7956	4844	9094	12134	6189	30481	5668
Zyg11b	16413	17284	11928	16649	16908	19035	18186	17304	9535	3295	10629	7250	4115	19197	8299	8997	6478	3072	18332	5993	10133	17429	7296	9713	11156	6150	10427	16931	7956	18167	7156	13877	7080	5242	14552	10526	5973	5455	11356	17387	8737	17060	9389	16324	9004	39505	6977	6814	8605	4894	10662	13359	7079	38749	6131
Cacnb4	20585	22135	18049	25026	16405	16217	25000	4003	11153	1938	14389	8140	2600	25514	10288	8747	5432	1205	18460	8882	13211	18951	10668	14913	14952	8773	14647	24698	9171	23665	9712	19973	8904	5304	16414	12939	8212	7663	17856	16920	10818	21345	8791	8665	4589	20706	4184	2926	4403	2525	5142	7474	4278	22578	3011
Supt6	12186	13537	9602	12987	14392	14569	13851	13479	12814	5799	9400	9031	4638	19810	7407	9605	7381	5295	14916	7470	13166	24959	7835	11898	16633	7943	11238	21705	11931	23938	7965	14277	7404	5788	14208	11626	6095	6087	10796	19614	9001	18258	9146	17760	9854	37691	6596	26343	9862	4938	10039	13521	8102	37916	5748
Cdc42	16460	15829	14296	18559	22500	20458	22649	20008	12529	6265	11632	8979	4644	21254	8687	9724	7318	8265	18008	6733	12147	25242	8525	10853	14299	7615	11504	19402	10444	23070	8013	14621	7886	5973	17003	10808	5991	6459	12441	19155	8880	18607	10483	15169	10024	36677	7515	23874	8518	4586	11274	12573	6664	35418	6387
Kif3c	14100	13400	11493	13268	12116	14724	15922	12562	13774	5236	10081	9710	5292	23107	8461	10396	8416	4360	17780	7057	11855	22895	7842	10781	13976	6831	10725	20096	10031	22177	7037	16399	9118	6608	17807	14078	7338	7247	13104	22182	10945	22346	11437	17681	10028	40834	7565	13661	9188	5380	10633	12385	7586	37744	5987
Jph3	9851	12141	7547	11636	9852	12850	10537	9420	14848	6437	11231	10851	5012	20262	7839	9786	7824	4771	14767	7865	12875	24080	8084	12645	16068	8039	11004	21970	11757	24709	7866	11865	6432	4801	11504	10687	5028	4836	8013	16864	7048	15150	6922	14799	9457	37682	6360	26897	9579	4607	9289	12376	7790	36564	5305
Gsk3b	16234	16517	11923	18256	16355	17845	19433	15674	10999	3728	13514	9569	4521	23063	8706	10133	7560	3025	19298	8217	14529	19197	11382	13204	14360	8790	15546	23632	10591	25223	10549	16344	7267	6254	17759	13071	6501	6427	12334	23374	10122	19679	10070	15257	7906	37147	5940	5541	7805	4303	8756	12177	6168	34087	5284
Drd1	886	389	532	827	280	611	1026	59	8265	2799	10209	8880	2444	14373	4793	5616	3958	1095	7626	9371	15231	24104	11559	16075	17704	9926	15060	24793	13199	29490	11292	4467	2509	2746	6920	7599	2239	3139	4500	14793	3446	7095	3090	502	216	393	41	239	114	31	146	174	49	427	33
Ano3	5225	9008	3179	7076	6810	7367	3577	4296	12391	4537	18348	12207	3446	25444	9682	9448	5697	1776	14889	9887	14926	22403	12684	15758	17183	11111	17831	27901	12467	32701	12686	7228	3802	3320	9438	9938	3112	3957	5997	15909	4315	9501	4263	6108	3832	20225	3716	3920	4647	2362	5953	5737	3531	21061	2551
Ilrun	12821	13993	14136	15800	13776	17211	19204	14997	13448	5680	10405	9792	4882	19969	8114	9566	7806	6522	15678	6572	11136	23116	7504	10854	13928	7147	10249	18911	10132	22358	7178	16072	8561	6712	17499	13108	6932	7240	12292	22198	10101	21839	10076	17117	9850	39171	6778	22506	9231	4902	10340	13222	7468	37723	5910
Rps15	10816	9740	11786	12206	14961	13874	17109	9731	13129	7270	9154	8646	4406	17946	6518	8248	7352	11478	13792	6789	11056	24997	7194	9640	14730	7015	9673	17446	10870	21873	6831	12895	6437	5374	14707	8690	5165	5570	10382	18071	7227	16070	9240	10094	6549	22693	4791	46715	5838	3357	7317	7695	4798	23200	4281
R3hdm1	12570	11562	12554	12106	10784	12975	15784	8353	10637	4500	10281	7223	3751	19945	8821	8769	6150	3884	16750	8591	13386	27355	8676	13596	14280	7825	11900	21604	10752	25718	8909	18123	9895	6183	18566	15584	7200	7819	13441	23073	10276	24211	11148	14029	7492	34717	5320	17688	6807	4622	8276	10429	5429	34586	5327
Ly6c2	238	8851	19717	18213	16184	18045	28695	29476	81	32	62	63	30	143	42	57	43	31	120	38	78	127	62	81	91	63	63	156	65	143	62	77	43	38	121	84	45	45	70	164	57	125	59	84	43	161	43	69	66	27	70	90	52	231	36
Ociad1	13246	12086	10781	13855	14327	15035	16090	13772	13248	6839	10691	9107	5045	21027	8443	10031	8065	8286	17919	6943	11714	24243	8015	10644	14829	6976	10766	18772	10286	21995	7763	14058	7120	5564	15205	10316	5805	5732	11399	17924	8287	17431	9549	16420	9998	38405	7436	30239	8892	4952	11240	13070	7146	36694	6592
Morf4l2	15979	12492	11284	13928	14595	16122	17095	12398	11176	4831	9283	8420	4442	18867	8051	10112	6879	6566	17166	6925	11053	23085	6880	9758	13621	6725	9342	16509	9651	19820	7169	15241	7890	6239	15324	10294	5964	6293	11307	18012	8768	19139	10236	18417	10582	40633	7903	20672	9070	5429	11949	14231	7528	38934	6491
