Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Or51a7	2.0158952074635725	-0.5241674422960061	0.3840772270412484	0.12101754135755298	0.19999449939521996	FALSE
Gins3	132.76218740637526	-0.5242502567667945	0.11522280718949994	4.402670606507904e-6	2.1057467124538972e-5	TRUE
Btn1a1	5.490768049116325	-0.5242639414899691	0.3746416746668923	0.12052812539588324	0.19930612020791239	FALSE
Ptgs2os	17.01651692774884	-0.52430514552184	0.3619076315855708	0.11206611166777627	0.18774690617735482	FALSE
Dbi	4247.581570750837	-0.5243829300353017	0.13683427157462133	1.0326997440736219e-4	3.830846101722093e-4	TRUE
Cwf19l2	776.7413450593164	-0.5245216495978017	0.05442642404085288	4.5137753349949315e-22	9.132710310410891e-21	TRUE
Vasn	512.808564987607	-0.5247049790785336	0.16081979040851038	8.912464607646073e-4	0.0027235546195784046	TRUE
Selenop	11700.61015487921	-0.5250496112233137	0.11211847535395236	2.394595438420751e-6	1.1991564648378922e-5	TRUE
Atp6v1g3	1.979538545133151	-0.525106257463423	0.37096602092429704	0.10996738359486072	0.18480675212652242	FALSE
Gm12522	54.423755305262596	-0.5251284299467558	0.278148075491519	0.04596735684067237	0.08836081113750491	FALSE
Pidd1	116.2967804097052	-0.5253779949218333	0.20817373922431778	0.009303505148741193	0.022085065838790593	TRUE
Sim2	12.557736494150076	-0.5254812030985804	0.49295053339062456	0.204586069196815	0.30711018120127637	FALSE
Or5b94	0.5012346307629452	-0.5255610311628645	0.7648589989372256	0.29358147442306126	0.40910082032045936	FALSE
Pdk1	2502.1706916407397	-0.5258667508690924	0.18361271746071192	0.0032972926009405324	0.008765348119759504	TRUE
Ggt5	173.89235543519297	-0.5259256267014699	0.17480543996283066	0.002118385937319532	0.00591335819813018	TRUE
Slc4a7	1959.5209807883718	-0.5259341341494504	0.1958490422648567	0.005706367733594064	0.014319824786013999	TRUE
9030612E09Rik	47.422039319655	-0.526211389521429	0.1491288617254585	3.325132832753973e-4	0.0011159556980318774	TRUE
6030407O03Rik	16.285153215002726	-0.5262679630005636	0.20224375551699805	0.00729770709504692	0.01779121423085289	TRUE
2810454H06Rik	38.120256835728654	-0.5262969582974066	0.1132198212512545	2.7026756035517468e-6	1.341534735726499e-5	TRUE
Hspg2	904.1565969776104	-0.5263650037214656	0.2570270204779099	0.03177823857560794	0.0645629500663332	FALSE
Sycp3	36.11805236504996	-0.5265480470296168	0.15020906674367415	3.6469284157751634e-4	0.0012125996705669737	TRUE
Gm24867	0.8376962094395349	-0.52666392999459255	0.5262443012915304	0.21131038835197682	0.3153177748471872	FALSE
Oaf	506.25891000582965	-0.527058954505386	0.09139874896635962	6.629124748098072e-9	4.8363695254298694e-8	TRUE
Rin2	1575.823294251093	-0.5273824154518024	0.09522997039417981	2.49441426196615e-8	1.681309672692408e-7	TRUE
Map3k9	1423.2634577155563	-0.527452894985381	0.21692443961494515	0.011995125621820294	0.027615205601621354	TRUE
Hs3st1	539.2715111484092	-0.5276911044534988	0.13678124105629913	9.280052252233378e-5	3.4744417153942907e-4	TRUE
Rap2c	1927.6681079429934	-0.5277311352435936	0.05762452194364605	5.869840746465212e-20	1.0837367461584995e-18	TRUE
